image,transforms,label,set,filename
100190000.png,orig_pers_fliph,Vollguss/Handgriff geschlossen,train,100190000_orig_pers_fliph.png
100190000.png,orig_rot_blur,Vollguss/Handgriff geschlossen,train,100190000_orig_rot_blur.png
100020200.png,blur_gray_pers,Gussbeton/Pickelloch geschlossen,train,100020200_blur_gray_pers.png
100020200.png,flipv_orig_pers,Gussbeton/Pickelloch geschlossen,train,100020200_flipv_orig_pers.png
100020200.png,flipv_fliph_orig,Gussbeton/Pickelloch geschlossen,train,100020200_flipv_fliph_orig.png
100091600.png,rot_fliph_blur,Vollguss/Handgriff geschlossen,train,100091600_rot_fliph_blur.png
100091600.png,orig_fliph_pers,Vollguss/Handgriff geschlossen,train,100091600_orig_fliph_pers.png
100045400.png,jit_gray_fliph,Rost/Strassenrost,train,100045400_jit_gray_fliph.png
100045400.png,flipv_blur_orig,Rost/Strassenrost,train,100045400_flipv_blur_orig.png
100045400.png,rot_pers_flipv,Rost/Strassenrost,train,100045400_rot_pers_flipv.png
100209100.png,blur_rot_gray,Rost/Strassenrost,train,100209100_blur_rot_gray.png
100116200.png,flipv_gray_fliph,Vollguss/Pickelloch geschlossen,train,100116200_flipv_gray_fliph.png
100116200.png,flipv_rot_jit,Vollguss/Pickelloch geschlossen,train,100116200_flipv_rot_jit.png
100116200.png,fliph_gray_flipv,Vollguss/Pickelloch geschlossen,train,100116200_fliph_gray_flipv.png
100191400.png,rot_pers_orig,Vollguss/Pickelloch geschlossen,train,100191400_rot_pers_orig.png
100191400.png,jit_fliph_pers,Vollguss/Pickelloch geschlossen,train,100191400_jit_fliph_pers.png
100191400.png,pers_orig_flipv,Vollguss/Pickelloch geschlossen,train,100191400_pers_orig_flipv.png
100020800.png,0,Rost/Strassenrost,train,100020800_0.png
100157500.png,rot_pers_jit,Gussbeton/Pickelloch geschlossen,train,100157500_rot_pers_jit.png
100157500.png,orig_flipv_jit,Gussbeton/Pickelloch geschlossen,train,100157500_orig_flipv_jit.png
100157500.png,flipv_gray_jit,Gussbeton/Pickelloch geschlossen,train,100157500_flipv_gray_jit.png
100157500.png,pers_blur_flipv,Gussbeton/Pickelloch geschlossen,train,100157500_pers_blur_flipv.png
100157500.png,blur_fliph_rot,Gussbeton/Pickelloch geschlossen,train,100157500_blur_fliph_rot.png
100157500.png,jit_flipv_fliph,Gussbeton/Pickelloch geschlossen,train,100157500_jit_flipv_fliph.png
100024200.png,flipv_pers_rot,Vollguss/Pickelloch belueftet,train,100024200_flipv_pers_rot.png
100024200.png,gray_jit_fliph,Vollguss/Pickelloch belueftet,train,100024200_gray_jit_fliph.png
100024200.png,fliph_pers_orig,Vollguss/Pickelloch belueftet,train,100024200_fliph_pers_orig.png
100024200.png,flipv_jit_gray,Vollguss/Pickelloch belueftet,train,100024200_flipv_jit_gray.png
100024200.png,fliph_rot_jit,Vollguss/Pickelloch belueftet,train,100024200_fliph_rot_jit.png
100024200.png,flipv_pers_fliph,Vollguss/Pickelloch belueftet,train,100024200_flipv_pers_fliph.png
100024200.png,pers_blur_gray,Vollguss/Pickelloch belueftet,train,100024200_pers_blur_gray.png
100024200.png,jit_rot_blur,Vollguss/Pickelloch belueftet,train,100024200_jit_rot_blur.png
100024200.png,flipv_blur_gray,Vollguss/Pickelloch belueftet,train,100024200_flipv_blur_gray.png
100209000.png,flipv_fliph_jit,Rost/Strassenrost,train,100209000_flipv_fliph_jit.png
100209000.png,gray_rot_blur,Rost/Strassenrost,train,100209000_gray_rot_blur.png
100209000.png,jit_pers_fliph,Rost/Strassenrost,train,100209000_jit_pers_fliph.png
100209000.png,rot_fliph_flipv,Rost/Strassenrost,train,100209000_rot_fliph_flipv.png
100187900.png,orig_gray_rot,Gussbeton/Pickelloch geschlossen,train,100187900_orig_gray_rot.png
100187900.png,orig_fliph_gray,Gussbeton/Pickelloch geschlossen,train,100187900_orig_fliph_gray.png
100187900.png,flipv_fliph_pers,Gussbeton/Pickelloch geschlossen,train,100187900_flipv_fliph_pers.png
100187900.png,rot_jit_gray,Gussbeton/Pickelloch geschlossen,train,100187900_rot_jit_gray.png
100187900.png,pers_fliph_blur,Gussbeton/Pickelloch geschlossen,train,100187900_pers_fliph_blur.png
100187900.png,flipv_pers_gray,Gussbeton/Pickelloch geschlossen,train,100187900_flipv_pers_gray.png
100187900.png,blur_rot_gray,Gussbeton/Pickelloch geschlossen,train,100187900_blur_rot_gray.png
100163500.png,rot_orig_gray,Gussbeton/Pickelloch geschlossen,train,100163500_rot_orig_gray.png
100163500.png,jit_gray_pers,Gussbeton/Pickelloch geschlossen,train,100163500_jit_gray_pers.png
100163500.png,blur_flipv_rot,Gussbeton/Pickelloch geschlossen,train,100163500_blur_flipv_rot.png
100163500.png,flipv_gray_pers,Gussbeton/Pickelloch geschlossen,train,100163500_flipv_gray_pers.png
100163500.png,pers_gray_fliph,Gussbeton/Pickelloch geschlossen,train,100163500_pers_gray_fliph.png
100087300.png,flipv_pers_rot,Gussbeton/Handgriff seitlich,train,100087300_flipv_pers_rot.png
100087300.png,fliph_rot_pers,Gussbeton/Handgriff seitlich,train,100087300_fliph_rot_pers.png
100087300.png,gray_blur_rot,Gussbeton/Handgriff seitlich,train,100087300_gray_blur_rot.png
100087300.png,gray_rot_fliph,Gussbeton/Handgriff seitlich,train,100087300_gray_rot_fliph.png
100087300.png,orig_rot_jit,Gussbeton/Handgriff seitlich,train,100087300_orig_rot_jit.png
100087300.png,gray_jit_rot,Gussbeton/Handgriff seitlich,train,100087300_gray_jit_rot.png
100087300.png,fliph_orig_flipv,Gussbeton/Handgriff seitlich,train,100087300_fliph_orig_flipv.png
100087300.png,rot_jit_orig,Gussbeton/Handgriff seitlich,train,100087300_rot_jit_orig.png
100087300.png,pers_orig_gray,Gussbeton/Handgriff seitlich,train,100087300_pers_orig_gray.png
100087300.png,blur_rot_fliph,Gussbeton/Handgriff seitlich,train,100087300_blur_rot_fliph.png
100087300.png,orig_jit_rot,Gussbeton/Handgriff seitlich,train,100087300_orig_jit_rot.png
100087300.png,orig_pers_gray,Gussbeton/Handgriff seitlich,train,100087300_orig_pers_gray.png
100087300.png,jit_rot_orig,Gussbeton/Handgriff seitlich,train,100087300_jit_rot_orig.png
100087300.png,jit_orig_pers,Gussbeton/Handgriff seitlich,train,100087300_jit_orig_pers.png
100087300.png,fliph_orig_pers,Gussbeton/Handgriff seitlich,train,100087300_fliph_orig_pers.png
100087300.png,orig_pers_rot,Gussbeton/Handgriff seitlich,train,100087300_orig_pers_rot.png
100087300.png,rot_flipv_jit,Gussbeton/Handgriff seitlich,train,100087300_rot_flipv_jit.png
100087300.png,pers_rot_orig,Gussbeton/Handgriff seitlich,train,100087300_pers_rot_orig.png
100087300.png,pers_rot_fliph,Gussbeton/Handgriff seitlich,train,100087300_pers_rot_fliph.png
100087300.png,blur_orig_rot,Gussbeton/Handgriff seitlich,train,100087300_blur_orig_rot.png
100087300.png,jit_blur_pers,Gussbeton/Handgriff seitlich,train,100087300_jit_blur_pers.png
100107900.png,pers_flipv_jit,Rost/Strassenrost,train,100107900_pers_flipv_jit.png
100107900.png,gray_jit_blur,Rost/Strassenrost,train,100107900_gray_jit_blur.png
100107900.png,pers_rot_fliph,Rost/Strassenrost,train,100107900_pers_rot_fliph.png
100049800.png,jit_flipv_pers,Vollguss/Pickelloch belueftet,train,100049800_jit_flipv_pers.png
100049800.png,pers_orig_gray,Vollguss/Pickelloch belueftet,train,100049800_pers_orig_gray.png
100049800.png,flipv_fliph_orig,Vollguss/Pickelloch belueftet,train,100049800_flipv_fliph_orig.png
100049800.png,pers_blur_jit,Vollguss/Pickelloch belueftet,train,100049800_pers_blur_jit.png
100049800.png,jit_pers_orig,Vollguss/Pickelloch belueftet,train,100049800_jit_pers_orig.png
100049800.png,orig_jit_rot,Vollguss/Pickelloch belueftet,train,100049800_orig_jit_rot.png
100049800.png,rot_flipv_pers,Vollguss/Pickelloch belueftet,train,100049800_rot_flipv_pers.png
100027100.png,pers_rot_flipv,Andere/-,train,100027100_pers_rot_flipv.png
100027100.png,rot_fliph_pers,Andere/-,train,100027100_rot_fliph_pers.png
100027100.png,rot_orig_jit,Andere/-,train,100027100_rot_orig_jit.png
100027100.png,orig_fliph_blur,Andere/-,train,100027100_orig_fliph_blur.png
100027100.png,blur_jit_rot,Andere/-,train,100027100_blur_jit_rot.png
100027100.png,fliph_orig_rot,Andere/-,train,100027100_fliph_orig_rot.png
100027100.png,fliph_rot_flipv,Andere/-,train,100027100_fliph_rot_flipv.png
100027100.png,fliph_jit_rot,Andere/-,train,100027100_fliph_jit_rot.png
100027100.png,jit_fliph_blur,Andere/-,train,100027100_jit_fliph_blur.png
100027100.png,blur_orig_jit,Andere/-,train,100027100_blur_orig_jit.png
100024000.png,fliph_flipv_rot,Rost/Einlauf rund,train,100024000_fliph_flipv_rot.png
100024000.png,gray_blur_rot,Rost/Einlauf rund,train,100024000_gray_blur_rot.png
100024000.png,jit_fliph_rot,Rost/Einlauf rund,train,100024000_jit_fliph_rot.png
100024000.png,flipv_blur_jit,Rost/Einlauf rund,train,100024000_flipv_blur_jit.png
100024000.png,fliph_gray_pers,Rost/Einlauf rund,train,100024000_fliph_gray_pers.png
100024000.png,pers_blur_flipv,Rost/Einlauf rund,train,100024000_pers_blur_flipv.png
100062700.png,gray_flipv_blur,Vollguss/Handgriff geschlossen,train,100062700_gray_flipv_blur.png
100074700.png,0,Vollguss/Handgriff geschlossen,train,100074700_0.png
100128700.png,jit_gray_rot,Vollguss/Pickelloch belueftet,train,100128700_jit_gray_rot.png
100128700.png,flipv_jit_rot,Vollguss/Pickelloch belueftet,train,100128700_flipv_jit_rot.png
100128700.png,flipv_gray_rot,Vollguss/Pickelloch belueftet,train,100128700_flipv_gray_rot.png
100128700.png,orig_flipv_fliph,Vollguss/Pickelloch belueftet,train,100128700_orig_flipv_fliph.png
100049000.png,jit_fliph_gray,Vollguss/Handgriff geschlossen,train,100049000_jit_fliph_gray.png
100049000.png,rot_orig_blur,Vollguss/Handgriff geschlossen,train,100049000_rot_orig_blur.png
100049000.png,blur_orig_rot,Vollguss/Handgriff geschlossen,train,100049000_blur_orig_rot.png
100154300.png,blur_rot_flipv,Rost/Strassenrost,train,100154300_blur_rot_flipv.png
100094200.png,orig_fliph_rot,Vollguss/Pickelloch geschlossen,train,100094200_orig_fliph_rot.png
100057000.png,0,Rost/Strassenrost,train,100057000_0.png
100142200.png,blur_fliph_gray,Vollguss/Pickelloch belueftet,train,100142200_blur_fliph_gray.png
100142200.png,blur_gray_flipv,Vollguss/Pickelloch belueftet,train,100142200_blur_gray_flipv.png
100142200.png,pers_fliph_flipv,Vollguss/Pickelloch belueftet,train,100142200_pers_fliph_flipv.png
100142200.png,fliph_orig_blur,Vollguss/Pickelloch belueftet,train,100142200_fliph_orig_blur.png
100142200.png,rot_fliph_gray,Vollguss/Pickelloch belueftet,train,100142200_rot_fliph_gray.png
100142200.png,orig_rot_jit,Vollguss/Pickelloch belueftet,train,100142200_orig_rot_jit.png
100012700.png,gray_fliph_blur,Gussbeton/Pickelloch geschlossen,train,100012700_gray_fliph_blur.png
100012700.png,rot_pers_fliph,Gussbeton/Pickelloch geschlossen,train,100012700_rot_pers_fliph.png
100012700.png,flipv_orig_jit,Gussbeton/Pickelloch geschlossen,train,100012700_flipv_orig_jit.png
100012700.png,gray_blur_jit,Gussbeton/Pickelloch geschlossen,train,100012700_gray_blur_jit.png
100012700.png,flipv_jit_rot,Gussbeton/Pickelloch geschlossen,train,100012700_flipv_jit_rot.png
100012700.png,orig_gray_jit,Gussbeton/Pickelloch geschlossen,train,100012700_orig_gray_jit.png
100081300.png,0,Vollguss/Handgriff geschlossen,train,100081300_0.png
100038500.png,rot_flipv_fliph,Rost/Strassenrost,train,100038500_rot_flipv_fliph.png
100038500.png,orig_flipv_jit,Rost/Strassenrost,train,100038500_orig_flipv_jit.png
100101300.png,gray_pers_flipv,Vollguss/Pickelloch geschlossen,train,100101300_gray_pers_flipv.png
100101300.png,jit_rot_orig,Vollguss/Pickelloch geschlossen,train,100101300_jit_rot_orig.png
100101300.png,pers_orig_flipv,Vollguss/Pickelloch geschlossen,train,100101300_pers_orig_flipv.png
100101300.png,fliph_jit_flipv,Vollguss/Pickelloch geschlossen,train,100101300_fliph_jit_flipv.png
100098700.png,jit_orig_pers,Rost/Strassenrost,train,100098700_jit_orig_pers.png
100098700.png,gray_fliph_blur,Rost/Strassenrost,train,100098700_gray_fliph_blur.png
100098700.png,jit_blur_pers,Rost/Strassenrost,train,100098700_jit_blur_pers.png
100098700.png,rot_orig_blur,Rost/Strassenrost,train,100098700_rot_orig_blur.png
100198600.png,pers_flipv_gray,Vollguss/Handgriff geschlossen,train,100198600_pers_flipv_gray.png
100198600.png,pers_fliph_rot,Vollguss/Handgriff geschlossen,train,100198600_pers_fliph_rot.png
100027800.png,jit_pers_fliph,Rost/Strassenrost,train,100027800_jit_pers_fliph.png
100027800.png,flipv_gray_pers,Rost/Strassenrost,train,100027800_flipv_gray_pers.png
100027800.png,rot_pers_blur,Rost/Strassenrost,train,100027800_rot_pers_blur.png
100027800.png,flipv_pers_fliph,Rost/Strassenrost,train,100027800_flipv_pers_fliph.png
100027800.png,rot_gray_blur,Rost/Strassenrost,train,100027800_rot_gray_blur.png
100053200.png,pers_fliph_gray,Gussbeton/Pickelloch belueftet,train,100053200_pers_fliph_gray.png
100053200.png,flipv_blur_gray,Gussbeton/Pickelloch belueftet,train,100053200_flipv_blur_gray.png
100053200.png,orig_jit_gray,Gussbeton/Pickelloch belueftet,train,100053200_orig_jit_gray.png
100053200.png,flipv_pers_orig,Gussbeton/Pickelloch belueftet,train,100053200_flipv_pers_orig.png
100053200.png,pers_orig_jit,Gussbeton/Pickelloch belueftet,train,100053200_pers_orig_jit.png
100053200.png,fliph_orig_jit,Gussbeton/Pickelloch belueftet,train,100053200_fliph_orig_jit.png
100053200.png,orig_pers_flipv,Gussbeton/Pickelloch belueftet,train,100053200_orig_pers_flipv.png
100053200.png,flipv_orig_pers,Gussbeton/Pickelloch belueftet,train,100053200_flipv_orig_pers.png
100053200.png,fliph_blur_flipv,Gussbeton/Pickelloch belueftet,train,100053200_fliph_blur_flipv.png
100185800.png,jit_rot_orig,Vollguss/Pickelloch geschlossen,train,100185800_jit_rot_orig.png
100185800.png,blur_orig_rot,Vollguss/Pickelloch geschlossen,train,100185800_blur_orig_rot.png
100043600.png,flipv_gray_fliph,Rost/Strassenrost,train,100043600_flipv_gray_fliph.png
100043600.png,jit_orig_rot,Rost/Strassenrost,train,100043600_jit_orig_rot.png
100156400.png,pers_jit_gray,Vollguss/Pickelloch geschlossen,train,100156400_pers_jit_gray.png
100156400.png,fliph_jit_rot,Vollguss/Pickelloch geschlossen,train,100156400_fliph_jit_rot.png
100156400.png,pers_orig_flipv,Vollguss/Pickelloch geschlossen,train,100156400_pers_orig_flipv.png
100022500.png,flipv_blur_orig,Vollguss/Pickelloch belueftet,train,100022500_flipv_blur_orig.png
100022500.png,jit_fliph_pers,Vollguss/Pickelloch belueftet,train,100022500_jit_fliph_pers.png
100022500.png,jit_fliph_orig,Vollguss/Pickelloch belueftet,train,100022500_jit_fliph_orig.png
100022500.png,fliph_rot_blur,Vollguss/Pickelloch belueftet,train,100022500_fliph_rot_blur.png
100022500.png,gray_pers_jit,Vollguss/Pickelloch belueftet,train,100022500_gray_pers_jit.png
100022500.png,pers_blur_fliph,Vollguss/Pickelloch belueftet,train,100022500_pers_blur_fliph.png
100022500.png,pers_gray_rot,Vollguss/Pickelloch belueftet,train,100022500_pers_gray_rot.png
100022500.png,gray_orig_pers,Vollguss/Pickelloch belueftet,train,100022500_gray_orig_pers.png
100022500.png,flipv_blur_pers,Vollguss/Pickelloch belueftet,train,100022500_flipv_blur_pers.png
100022500.png,pers_orig_flipv,Vollguss/Pickelloch belueftet,train,100022500_pers_orig_flipv.png
100022500.png,gray_fliph_orig,Vollguss/Pickelloch belueftet,train,100022500_gray_fliph_orig.png
100211800.png,gray_orig_rot,Rost/Strassenrost,train,100211800_gray_orig_rot.png
100145900.png,flipv_rot_blur,Rost/Strassenrost,train,100145900_flipv_rot_blur.png
100201800.png,0,Rost/Strassenrost,train,100201800_0.png
100049200.png,jit_rot_gray,Rost/Strassenrost,train,100049200_jit_rot_gray.png
100049200.png,rot_pers_jit,Rost/Strassenrost,train,100049200_rot_pers_jit.png
100196100.png,fliph_jit_pers,Vollguss/Pickelloch geschlossen,train,100196100_fliph_jit_pers.png
100076000.png,rot_gray_fliph,Rost/Strassenrost,train,100076000_rot_gray_fliph.png
100076000.png,pers_rot_flipv,Rost/Strassenrost,train,100076000_pers_rot_flipv.png
100055900.png,0,Vollguss/Pickelloch geschlossen,train,100055900_0.png
100021800.png,orig_gray_blur,Rost/Einlauf rund,train,100021800_orig_gray_blur.png
100021800.png,flipv_gray_blur,Rost/Einlauf rund,train,100021800_flipv_gray_blur.png
100021800.png,flipv_blur_pers,Rost/Einlauf rund,train,100021800_flipv_blur_pers.png
100021800.png,pers_gray_orig,Rost/Einlauf rund,train,100021800_pers_gray_orig.png
100021800.png,jit_orig_gray,Rost/Einlauf rund,train,100021800_jit_orig_gray.png
100021800.png,jit_pers_orig,Rost/Einlauf rund,train,100021800_jit_pers_orig.png
100021800.png,pers_rot_fliph,Rost/Einlauf rund,train,100021800_pers_rot_fliph.png
100021800.png,fliph_jit_orig,Rost/Einlauf rund,train,100021800_fliph_jit_orig.png
100021800.png,rot_gray_jit,Rost/Einlauf rund,train,100021800_rot_gray_jit.png
100021800.png,flipv_gray_rot,Rost/Einlauf rund,train,100021800_flipv_gray_rot.png
100021800.png,flipv_pers_blur,Rost/Einlauf rund,train,100021800_flipv_pers_blur.png
100021800.png,rot_blur_jit,Rost/Einlauf rund,train,100021800_rot_blur_jit.png
100021800.png,gray_pers_orig,Rost/Einlauf rund,train,100021800_gray_pers_orig.png
100021800.png,rot_gray_pers,Rost/Einlauf rund,train,100021800_rot_gray_pers.png
100021800.png,gray_rot_jit,Rost/Einlauf rund,train,100021800_gray_rot_jit.png
100021800.png,blur_fliph_gray,Rost/Einlauf rund,train,100021800_blur_fliph_gray.png
100021800.png,pers_jit_fliph,Rost/Einlauf rund,train,100021800_pers_jit_fliph.png
100021800.png,orig_jit_blur,Rost/Einlauf rund,train,100021800_orig_jit_blur.png
100131800.png,flipv_orig_pers,Vollguss/Handgriff geschlossen,train,100131800_flipv_orig_pers.png
100131800.png,pers_flipv_orig,Vollguss/Handgriff geschlossen,train,100131800_pers_flipv_orig.png
100215400.png,orig_blur_jit,Rost/Einlauf rund,train,100215400_orig_blur_jit.png
100215400.png,jit_orig_blur,Rost/Einlauf rund,train,100215400_jit_orig_blur.png
100215400.png,flipv_rot_blur,Rost/Einlauf rund,train,100215400_flipv_rot_blur.png
100215400.png,orig_rot_fliph,Rost/Einlauf rund,train,100215400_orig_rot_fliph.png
100215400.png,gray_rot_jit,Rost/Einlauf rund,train,100215400_gray_rot_jit.png
100215400.png,fliph_gray_flipv,Rost/Einlauf rund,train,100215400_fliph_gray_flipv.png
100215400.png,orig_gray_rot,Rost/Einlauf rund,train,100215400_orig_gray_rot.png
100215400.png,jit_rot_blur,Rost/Einlauf rund,train,100215400_jit_rot_blur.png
100215400.png,jit_orig_rot,Rost/Einlauf rund,train,100215400_jit_orig_rot.png
100215400.png,orig_rot_pers,Rost/Einlauf rund,train,100215400_orig_rot_pers.png
100215400.png,pers_gray_rot,Rost/Einlauf rund,train,100215400_pers_gray_rot.png
100215400.png,fliph_flipv_jit,Rost/Einlauf rund,train,100215400_fliph_flipv_jit.png
100215400.png,jit_blur_pers,Rost/Einlauf rund,train,100215400_jit_blur_pers.png
100064700.png,pers_fliph_flipv,Rost/Strassenrost gewoelbt,train,100064700_pers_fliph_flipv.png
100064700.png,blur_jit_flipv,Rost/Strassenrost gewoelbt,train,100064700_blur_jit_flipv.png
100064700.png,rot_pers_flipv,Rost/Strassenrost gewoelbt,train,100064700_rot_pers_flipv.png
100064700.png,flipv_blur_fliph,Rost/Strassenrost gewoelbt,train,100064700_flipv_blur_fliph.png
