image,type,subtype,concatenated_type,set
100119900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100173900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100039800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100135300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100091200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100118500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100084100.png,Rost,Strassenrost,Rost / Strassenrost,train
100212800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100069100.png,Andere,-,Andere / -,train
100073200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100197000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100106900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100132400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100066800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100125200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100030700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100209700.png,Andere,-,Andere / -,val
100120400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100102500.png,Andere,-,Andere / -,test
100215300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100132500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100129700.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100021900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100056800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100057300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100062600.png,Rost,Strassenrost,Rost / Strassenrost,test
100006400.png,Rost,Strassenrost,Rost / Strassenrost,train
100107700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100160800.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100113700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100213700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100094000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100158400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100034000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100122000.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100010600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100063100.png,Rost,Strassenrost,Rost / Strassenrost,train
100007500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100126000.png,Rost,Strassenrost,Rost / Strassenrost,test
100203200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100101100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100036100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100106500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100024300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100072700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100005100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100136300.png,Rost,Strassenrost,Rost / Strassenrost,test
100013500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100102700.png,Rost,Strassenrost,Rost / Strassenrost,train
100126100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100158000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100215800.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100208400.png,Rost,Strassenrost,Rost / Strassenrost,train
100000400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100047200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100195100.png,Rost,Strassenrost,Rost / Strassenrost,train
100178300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100107000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100127700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100060600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100146100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100103100.png,Rost,Strassenrost,Rost / Strassenrost,train
100046000.png,Rost,Strassenrost,Rost / Strassenrost,train
100074500.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100015400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100138300.png,Andere,-,Andere / -,train
100181700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100207400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100139900.png,Rost,Strassenrost,Rost / Strassenrost,train
100136600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100119000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100034300.png,Rost,Strassenrost,Rost / Strassenrost,train
100135000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100114700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100181800.png,Rost,Strassenrost,Rost / Strassenrost,train
100127300.png,Rost,Strassenrost,Rost / Strassenrost,train
100167100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100028400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100107400.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100075100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100051400.png,Rost,Strassenrost,Rost / Strassenrost,train
100112600.png,Rost,Strassenrost,Rost / Strassenrost,train
100139500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100022900.png,Rost,Strassenrost,Rost / Strassenrost,val
100195900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100174500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100189700.png,Andere,-,Andere / -,train
100201900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100142300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100105400.png,Andere,-,Andere / -,train
100127600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100006700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100171300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100017300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100134000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100088900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100006300.png,Rost,Strassenrost,Rost / Strassenrost,train
100199000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100060700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100059500.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100166900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100013700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100089300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100020400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100029500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100206800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100115000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100144900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100181100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100031800.png,Rost,Strassenrost,Rost / Strassenrost,test
100146700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100143900.png,Rost,Strassenrost,Rost / Strassenrost,train
100119300.png,Rost,Strassenrost,Rost / Strassenrost,val
100082400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100047500.png,Rost,Strassenrost,Rost / Strassenrost,train
100115700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100002700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100158900.png,Rost,Strassenrost,Rost / Strassenrost,train
100162000.png,Rost,Strassenrost,Rost / Strassenrost,train
100079100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100193900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100202300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100121100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100020700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100213600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100198400.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100184700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100174200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100152700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100162200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100176400.png,Rost,Strassenrost,Rost / Strassenrost,train
100204200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100032000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100058300.png,Rost,Strassenrost,Rost / Strassenrost,train
100128400.png,Rost,Strassenrost,Rost / Strassenrost,val
100214700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100132000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100065000.png,Rost,Strassenrost,Rost / Strassenrost,train
100130500.png,Andere,-,Andere / -,train
100056200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100175000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100077300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100214500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100037500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100154700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100082200.png,Rost,Strassenrost,Rost / Strassenrost,train
100156000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100066000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100161700.png,Rost,Strassenrost,Rost / Strassenrost,train
100083600.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,test
100000100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100193100.png,Rost,Strassenrost,Rost / Strassenrost,train
100173300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100017100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100051200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100096100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100027400.png,Rost,Strassenrost,Rost / Strassenrost,train
100029000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100156900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100015600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100184300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100166200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100209300.png,Rost,Strassenrost,Rost / Strassenrost,val
100026500.png,Andere,-,Andere / -,train
100086800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100214400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100206000.png,Rost,Strassenrost,Rost / Strassenrost,val
100182800.png,Andere,-,Andere / -,train
100181500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100083700.png,Rost,Strassenrost,Rost / Strassenrost,train
100025400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100143800.png,Rost,Strassenrost,Rost / Strassenrost,train
100205100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100054000.png,Rost,Strassenrost,Rost / Strassenrost,train
