image,set,label
100105200.png,train,Vollguss/Pickelloch geschlossen
100109200.png,train,Vollguss/Handgriff geschlossen
100060500.png,train,Gussbeton/Pickelloch belueftet
100040500.png,train,Rost/Strassenrost
100207100.png,train,Rost/Strassenrost
100109600.png,train,Vollguss/Pickelloch geschlossen
100131200.png,train,Vollguss/Handgriff geschlossen
100137300.png,train,Vollguss/Pickelloch geschlossen
100130100.png,train,Rost/Strassenrost
100037600.png,train,Vollguss/Pickelloch geschlossen
100217400.png,train,Vollguss/Handgriff geschlossen
100073400.png,train,Rost/Strassenrost
100076400.png,train,Gussbeton/Pickelloch belueftet
100154100.png,train,Vollguss/Handgriff geschlossen
100164500.png,train,Rost/Strassenrost
100045400.png,train,Rost/Strassenrost
100133500.png,train,Gussbeton/Handgriff mitte
100206900.png,train,Vollguss/Handgriff geschlossen
100204300.png,train,Vollguss/Pickelloch geschlossen
100143200.png,train,Vollguss/Handgriff geschlossen
100016900.png,train,Vollguss/Pickelloch belueftet
100036200.png,train,Rost/Strassenrost
100181200.png,train,Vollguss/Handgriff geschlossen
100063900.png,train,Gussbeton/Pickelloch belueftet
100084300.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100015100.png,train,Rost/Einlauf rund
100026700.png,train,Vollguss/Pickelloch belueftet
100059500.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100133800.png,train,Rost/Strassenrost
100194400.png,train,Rost/Strassenrost
100212000.png,train,Rost/Strassenrost
100043500.png,train,Rost/Strassenrost
100043000.png,train,Gussbeton/Pickelloch belueftet
100100800.png,train,Andere/-
100120200.png,train,Vollguss/Pickelloch geschlossen
100214800.png,train,Andere/-
100181400.png,train,Vollguss/Pickelloch geschlossen
100161300.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100161500.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100174600.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100114800.png,train,Rost/Strassenrost
100064900.png,train,Rost/Strassenrost
100157700.png,train,Rost/Strassenrost
100136700.png,train,Gussbeton/Pickelloch geschlossen
100178900.png,train,Vollguss/Handgriff geschlossen
100044800.png,train,Rost/Strassenrost
100200200.png,train,Gussbeton/Pickelloch geschlossen
100012000.png,train,Vollguss/Pickelloch geschlossen
100028300.png,train,Vollguss/Handgriff geschlossen
100141600.png,train,Vollguss/Handgriff geschlossen
100022800.png,train,Gussbeton/Pickelloch geschlossen
100212600.png,train,Gussbeton/Pickelloch geschlossen
100162400.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100126100.png,train,Vollguss/Pickelloch geschlossen
100118900.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100205900.png,train,Vollguss/Pickelloch geschlossen
100115100.png,train,Rost/Strassenrost gewoelbt
100175600.png,train,Vollguss/Pickelloch belueftet
100027800.png,train,Rost/Strassenrost
100066600.png,train,Vollguss/Pickelloch geschlossen
100092900.png,train,Rost/Strassenrost
100096400.png,train,Gussbeton/Pickelloch geschlossen
100084000.png,train,Vollguss/Pickelloch geschlossen
100032600.png,train,Gussbeton/Pickelloch geschlossen
100146400.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100198000.png,train,Rost/Strassenrost
100127800.png,train,Vollguss/Handgriff geschlossen
100111600.png,train,Rost/Strassenrost
100210000.png,train,Vollguss/Handgriff geschlossen
100199900.png,train,Vollguss/Handgriff geschlossen
100005400.png,train,Andere/-
100137400.png,train,Vollguss/Handgriff geschlossen
100122500.png,train,Vollguss/Handgriff geschlossen
100176300.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100135200.png,train,Vollguss/Pickelloch geschlossen
100204200.png,train,Vollguss/Handgriff geschlossen
100081600.png,train,Gussbeton/Pickelloch geschlossen
100177600.png,train,Andere/-
100184100.png,train,Gussbeton/Pickelloch belueftet
100184700.png,train,Vollguss/Handgriff geschlossen
100193700.png,train,Rost/Strassenrost
100033500.png,train,Vollguss/Pickelloch geschlossen
100105600.png,train,Gussbeton/Handgriff seitlich
100141100.png,train,Rost/Einlauf rund
100001700.png,train,Vollguss/Handgriff geschlossen
100145900.png,train,Rost/Strassenrost
100002800.png,train,Rost/Strassenrost
100116400.png,train,Vollguss/Handgriff geschlossen
100167200.png,train,Gussbeton/Pickelloch belueftet
100199700.png,train,Rost/Strassenrost
100072200.png,train,Rost/Strassenrost
100010400.png,train,Rost/Strassenrost
100193300.png,train,Vollguss/Handgriff geschlossen
100132700.png,train,Vollguss/Pickelloch geschlossen
100156800.png,train,Vollguss/Pickelloch belueftet
100017800.png,train,Gussbeton/Pickelloch geschlossen
100003300.png,train,Vollguss/Handgriff geschlossen
100124400.png,train,Rost/Strassenrost
100159800.png,train,Vollguss/Pickelloch geschlossen
100190400.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100082200.png,train,Rost/Strassenrost
100129200.png,train,Vollguss/Handgriff geschlossen
100168300.png,train,Rost/Strassenrost
100202300.png,train,Vollguss/Pickelloch geschlossen
100059400.png,train,Vollguss/Pickelloch geschlossen
100115500.png,train,Rost/Strassenrost
100038300.png,train,Andere/-
100108500.png,train,Vollguss/Handgriff geschlossen
100132600.png,train,Vollguss/Handgriff geschlossen
100071900.png,train,Gussbeton/Pickelloch geschlossen
100099400.png,train,Gussbeton/Handgriff seitlich
100070600.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100182900.png,train,Gussbeton/Pickelloch belueftet
100081000.png,train,Rost/Strassenrost
100029600.png,train,Vollguss/Pickelloch geschlossen
100123600.png,train,Rost/Strassenrost
100031900.png,train,Vollguss/Pickelloch geschlossen
100185100.png,train,Rost/Strassenrost
100209900.png,train,Rost/Strassenrost
100002000.png,train,Rost/Strassenrost
100125400.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100214900.png,train,Gussbeton/Pickelloch belueftet
100163300.png,train,Vollguss/Pickelloch geschlossen
100018500.png,train,Rost/Strassenrost
100135400.png,train,Rost/Strassenrost
100055200.png,train,Rost/Strassenrost
100199800.png,train,Rost/Strassenrost
100062100.png,train,Vollguss/Handgriff geschlossen
100215300.png,train,Vollguss/Pickelloch geschlossen
100143600.png,train,Gussbeton/Pickelloch geschlossen
100047700.png,train,Vollguss/Handgriff geschlossen
100124700.png,train,Vollguss/Handgriff geschlossen
100155700.png,train,Gussbeton/Pickelloch belueftet
100206500.png,train,Rost/Einlauf rund
100211100.png,train,Vollguss/Handgriff geschlossen
100068500.png,train,Gussbeton/Handgriff mitte
100150000.png,train,Gussbeton/Pickelloch geschlossen
100043300.png,train,Vollguss/Pickelloch geschlossen
100037200.png,train,Vollguss/Pickelloch geschlossen
100183600.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100037000.png,train,Rost/Einlauf rund
100174300.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100127100.png,train,Rost/Strassenrost
100148200.png,train,Vollguss/Pickelloch belueftet
100194200.png,train,Gussbeton/Pickelloch geschlossen
100051500.png,train,Vollguss/Handgriff geschlossen
100132300.png,train,Gussbeton/Pickelloch belueftet
100194300.png,train,Rost/Strassenrost
100132400.png,train,Vollguss/Pickelloch geschlossen
100100600.png,train,Rost/Strassenrost
100065600.png,train,Vollguss/Handgriff geschlossen
100072900.png,train,Rost/Strassenrost
100037100.png,train,Gussbeton/Pickelloch belueftet
100041800.png,train,Andere/-
100044000.png,train,Vollguss/Pickelloch geschlossen
100038000.png,train,Vollguss/Pickelloch geschlossen
100030200.png,train,Rost/Strassenrost
100212500.png,train,Rost/Strassenrost
100011900.png,train,Vollguss/Pickelloch belueftet
100171200.png,train,Vollguss/Pickelloch geschlossen
100206200.png,train,Andere/-
100077300.png,train,Vollguss/Handgriff geschlossen
100018800.png,train,Vollguss/Pickelloch geschlossen
100032000.png,train,Vollguss/Handgriff geschlossen
100122600.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100197400.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100057300.png,train,Gussbeton/Pickelloch geschlossen
100165900.png,train,Vollguss/Handgriff geschlossen
100056700.png,train,Rost/Einlauf rund
100022200.png,train,Andere/-
100046200.png,train,Rost/Strassenrost
100080500.png,train,Rost/Strassenrost
100040200.png,train,Andere/-
100050000.png,train,Gussbeton/Pickelloch geschlossen
100142300.png,train,Vollguss/Handgriff geschlossen
100030600.png,train,Rost/Strassenrost
100018900.png,train,Andere/-
100085600.png,train,Gussbeton/Handgriff seitlich
100171800.png,train,Rost/Strassenrost
100115800.png,train,Vollguss/Pickelloch geschlossen
100202100.png,train,Rost/Einlauf rund
100062500.png,train,Rost/Einlauf rund
100073600.png,train,Gussbeton/Handgriff seitlich
100001600.png,train,Rost/Strassenrost
100027300.png,train,Vollguss/Handgriff geschlossen
100091500.png,train,Rost/Strassenrost
100159600.png,train,Andere/-
100165600.png,train,Gussbeton/Pickelloch geschlossen
100212800.png,train,Gussbeton/Pickelloch geschlossen
100046100.png,train,Vollguss/Handgriff geschlossen
100083800.png,train,Rost/Strassenrost
100171100.png,train,Vollguss/Pickelloch belueftet
100166600.png,train,Vollguss/Handgriff geschlossen
100083400.png,train,Vollguss/Handgriff geschlossen
100012100.png,train,Rost/Strassenrost
100192000.png,train,Vollguss/Pickelloch geschlossen
100194900.png,train,Gussbeton/Pickelloch geschlossen
100096100.png,train,Vollguss/Handgriff geschlossen
100023100.png,train,Vollguss/Handgriff geschlossen
100103600.png,train,Vollguss/Pickelloch geschlossen
100049900.png,train,Vollguss/Handgriff geschlossen
100165200.png,train,Rost/Strassenrost
100124000.png,train,Gussbeton/Pickelloch belueftet
100036500.png,train,Vollguss/Pickelloch geschlossen
100187200.png,train,Vollguss/Pickelloch belueftet
100199600.png,train,Gussbeton/Handgriff mitte
100077900.png,train,Vollguss/Handgriff geschlossen
100185500.png,train,Rost/Strassenrost
100132500.png,train,Gussbeton/Pickelloch belueftet
100156200.png,train,Rost/Strassenrost
100056400.png,train,Vollguss/Handgriff geschlossen
100075300.png,train,Vollguss/Handgriff geschlossen
100002200.png,train,Rost/Strassenrost
100124600.png,train,Andere/-
100047100.png,train,Vollguss/Handgriff geschlossen
100160700.png,train,Rost/Strassenrost
100129300.png,train,Vollguss/Pickelloch geschlossen
100014100.png,train,Rost/Strassenrost
100150200.png,train,Rost/Strassenrost
100105300.png,train,Vollguss/Handgriff geschlossen
100187600.png,train,Rost/Strassenrost
100209800.png,train,Vollguss/Pickelloch geschlossen
100191400.png,train,Vollguss/Pickelloch geschlossen
100028200.png,train,Vollguss/Handgriff geschlossen
100215000.png,train,Rost/Einlauf rund
100213200.png,train,Rost/Strassenrost
100163600.png,train,Rost/Strassenrost
100161400.png,train,Andere/-
100170600.png,train,Vollguss/Pickelloch geschlossen
100173200.png,train,Gussbeton/Pickelloch belueftet
100020400.png,train,Gussbeton/Pickelloch belueftet
100052700.png,train,Gussbeton/Pickelloch belueftet
100050900.png,train,Vollguss/Handgriff geschlossen
100077600.png,train,Andere/-
100122400.png,train,Vollguss/Pickelloch belueftet
100134800.png,train,Rost/Strassenrost
100170800.png,train,Rost/Strassenrost
100097900.png,train,Gussbeton/Pickelloch geschlossen
100045200.png,train,Rost/Strassenrost gewoelbt
100209000.png,train,Rost/Strassenrost
100038400.png,train,Andere/-
100161800.png,train,Vollguss/Pickelloch geschlossen
100045500.png,train,Rost/Strassenrost gewoelbt
100167400.png,train,Vollguss/Pickelloch geschlossen
100122200.png,train,Vollguss/Handgriff geschlossen
100195300.png,train,Rost/Strassenrost
100143800.png,train,Rost/Strassenrost
100057900.png,train,Rost/Strassenrost
100140700.png,train,Vollguss/Handgriff geschlossen
100104500.png,train,Gussbeton/Handgriff seitlich
100011700.png,train,Vollguss/Pickelloch geschlossen
100202400.png,train,Vollguss/Handgriff geschlossen
100020100.png,train,Gussbeton/Pickelloch geschlossen
100061200.png,train,Gussbeton/Pickelloch geschlossen
100154600.png,train,Gussbeton/Handgriff mitte
100064800.png,train,Vollguss/Handgriff geschlossen
100067500.png,train,Gussbeton/Pickelloch geschlossen
100107900.png,train,Rost/Strassenrost
100124900.png,train,Gussbeton/Pickelloch geschlossen
100035600.png,train,Gussbeton/Pickelloch geschlossen
100048200.png,train,Rost/Strassenrost
100025800.png,train,Rost/Strassenrost
100094800.png,train,Rost/Einlauf rund
100109900.png,train,Gussbeton/Pickelloch geschlossen
100084600.png,train,Rost/Strassenrost
100192100.png,train,Vollguss/Handgriff geschlossen
100158600.png,train,Vollguss/Pickelloch belueftet
100152400.png,train,Vollguss/Pickelloch geschlossen
100057200.png,train,Gussbeton/Handgriff mitte
100025900.png,train,Vollguss/Pickelloch geschlossen
100134300.png,train,Vollguss/Pickelloch geschlossen
100031100.png,train,Rost/Strassenrost
100116100.png,train,Rost/Strassenrost
100174200.png,train,Vollguss/Handgriff geschlossen
100075100.png,train,Gussbeton/Pickelloch geschlossen
100006100.png,train,Rost/Strassenrost
100082900.png,train,Gussbeton/Pickelloch geschlossen
100028500.png,train,Rost/Strassenrost
100021000.png,train,Vollguss/Handgriff geschlossen
100035200.png,train,Rost/Strassenrost
100154500.png,train,Vollguss/Pickelloch belueftet
100089400.png,train,Gussbeton/Pickelloch geschlossen
100017300.png,train,Vollguss/Pickelloch geschlossen
100040100.png,train,Vollguss/Pickelloch geschlossen
100214500.png,train,Vollguss/Pickelloch geschlossen
100155800.png,train,Vollguss/Pickelloch geschlossen
100014200.png,train,Gussbeton/Handgriff seitlich
100168200.png,train,Vollguss/Pickelloch belueftet
100118700.png,train,Vollguss/Pickelloch geschlossen
100017700.png,train,Vollguss/Pickelloch geschlossen
100067200.png,train,Rost/Strassenrost
100152900.png,train,Rost/Strassenrost
100105000.png,train,Vollguss/Handgriff geschlossen
100040400.png,train,Vollguss/Pickelloch geschlossen
100068400.png,train,Rost/Strassenrost
100070400.png,train,Vollguss/Pickelloch geschlossen
100170000.png,train,Gussbeton/Handgriff mitte
100143100.png,train,Vollguss/Pickelloch geschlossen
100140100.png,train,Rost/Strassenrost
100151400.png,train,Rost/Einlauf rund
100094400.png,train,Vollguss/Handgriff geschlossen
100130300.png,train,Rost/Strassenrost
100016800.png,train,Gussbeton/Pickelloch geschlossen
100039800.png,train,Vollguss/Pickelloch geschlossen
100048100.png,train,Rost/Strassenrost
100040700.png,train,Vollguss/Handgriff geschlossen
100207000.png,train,Vollguss/Handgriff geschlossen
100036300.png,train,Vollguss/Pickelloch geschlossen
100011400.png,train,Vollguss/Handgriff geschlossen
100070900.png,train,Rost/Strassenrost
100004100.png,train,Vollguss/Pickelloch geschlossen
100098600.png,train,Vollguss/Pickelloch geschlossen
100158800.png,train,Gussbeton/Pickelloch belueftet
100163700.png,train,Rost/Strassenrost
100017100.png,train,Gussbeton/Pickelloch geschlossen
100217200.png,train,Gussbeton/Pickelloch geschlossen
100157900.png,train,Vollguss/Pickelloch geschlossen
100045600.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100054200.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100173800.png,train,Vollguss/Pickelloch geschlossen
100136000.png,train,Vollguss/Pickelloch geschlossen
100050500.png,train,Vollguss/Pickelloch geschlossen
100126300.png,train,Vollguss/Pickelloch geschlossen
100162000.png,train,Rost/Strassenrost
100181500.png,train,Gussbeton/Handgriff seitlich
100209500.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100170200.png,train,Gussbeton/Pickelloch belueftet
100181300.png,train,Vollguss/Handgriff geschlossen
100181900.png,train,Rost/Strassenrost
100074700.png,train,Vollguss/Handgriff geschlossen
100189700.png,train,Andere/-
100214000.png,train,Rost/Strassenrost
100045900.png,train,Gussbeton/Pickelloch geschlossen
100015900.png,train,Vollguss/Handgriff geschlossen
100216200.png,train,Vollguss/Pickelloch geschlossen
100075600.png,train,Vollguss/Pickelloch geschlossen
100039000.png,train,Vollguss/Pickelloch geschlossen
100091100.png,train,Rost/Strassenrost
100102200.png,train,Rost/Strassenrost
100152600.png,train,Rost/Strassenrost
100115700.png,train,Vollguss/Handgriff geschlossen
100015700.png,train,Vollguss/Pickelloch geschlossen
100075000.png,train,Vollguss/Handgriff geschlossen
100137600.png,train,Vollguss/Handgriff geschlossen
100217000.png,train,Vollguss/Pickelloch geschlossen
100034500.png,train,Vollguss/Handgriff geschlossen
100091000.png,train,Rost/Strassenrost
100134100.png,train,Gussbeton/Pickelloch geschlossen
100037500.png,train,Vollguss/Pickelloch geschlossen
100045700.png,train,Rost/Strassenrost
100215400.png,train,Rost/Einlauf rund
100111700.png,train,Rost/Strassenrost
100023300.png,train,Rost/Strassenrost
100196900.png,train,Gussbeton/Pickelloch belueftet
100126700.png,train,Vollguss/Handgriff geschlossen
100155300.png,train,Vollguss/Pickelloch geschlossen
100114900.png,train,Gussbeton/Pickelloch geschlossen
100200100.png,train,Rost/Strassenrost
100155000.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100092500.png,train,Gussbeton/Pickelloch geschlossen
100114700.png,train,Gussbeton/Pickelloch geschlossen
100047900.png,train,Vollguss/Handgriff geschlossen
100110200.png,train,Gussbeton/Pickelloch belueftet
100011100.png,train,Andere/-
100203800.png,train,Gussbeton/Pickelloch geschlossen
100072500.png,train,Rost/Strassenrost
100053800.png,train,Vollguss/Pickelloch geschlossen
100144500.png,train,Vollguss/Pickelloch geschlossen
100090300.png,train,Rost/Strassenrost
100198900.png,train,Rost/Strassenrost
100212200.png,train,Gussbeton/Pickelloch belueftet
100107400.png,train,Rost/Einlauf rund
100116000.png,train,Rost/Strassenrost
100090200.png,train,Gussbeton/Pickelloch geschlossen
100117600.png,train,Vollguss/Handgriff geschlossen
100171500.png,train,Vollguss/Pickelloch geschlossen
100132800.png,train,Vollguss/Pickelloch geschlossen
100047500.png,train,Rost/Strassenrost
100172700.png,train,Vollguss/Handgriff geschlossen
100012300.png,train,Rost/Strassenrost gewoelbt
100151100.png,train,Vollguss/Pickelloch geschlossen
100024700.png,train,Rost/Strassenrost
100062400.png,train,Vollguss/Pickelloch geschlossen
100091600.png,train,Vollguss/Handgriff geschlossen
100049000.png,train,Vollguss/Handgriff geschlossen
100079700.png,train,Rost/Strassenrost
100133400.png,train,Vollguss/Handgriff geschlossen
100046800.png,train,Rost/Strassenrost
100179800.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100052200.png,train,Rost/Strassenrost
100017900.png,train,Vollguss/Pickelloch geschlossen
100084500.png,train,Rost/Strassenrost
100079900.png,train,Vollguss/Pickelloch geschlossen
100081300.png,train,Vollguss/Handgriff geschlossen
100130200.png,train,Gussbeton/Pickelloch geschlossen
100015400.png,train,Vollguss/Handgriff geschlossen
100130000.png,train,Gussbeton/Pickelloch belueftet
100187700.png,train,Andere/-
100021700.png,train,Andere/-
100000800.png,train,Vollguss/Pickelloch geschlossen
100152800.png,train,Vollguss/Pickelloch belueftet
100179400.png,train,Gussbeton/Pickelloch geschlossen
100213100.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100144600.png,train,Gussbeton/Pickelloch geschlossen
100205700.png,train,Vollguss/Handgriff geschlossen
100101600.png,train,Vollguss/Pickelloch belueftet
100016600.png,train,Gussbeton/Pickelloch geschlossen
100090900.png,train,Vollguss/Pickelloch geschlossen
100167900.png,train,Vollguss/Pickelloch geschlossen
100042300.png,train,Andere/-
100192900.png,train,Rost/Strassenrost
100016000.png,train,Vollguss/Pickelloch geschlossen
100002400.png,train,Andere/-
100085000.png,train,Gussbeton/Handgriff seitlich
100025100.png,train,Vollguss/Handgriff geschlossen
100035500.png,train,Vollguss/Pickelloch geschlossen
100160000.png,train,Vollguss/Pickelloch belueftet
100165100.png,train,Vollguss/Handgriff geschlossen
100114000.png,train,Vollguss/Handgriff geschlossen
100019300.png,train,Andere/-
100159200.png,train,Rost/Strassenrost
100151900.png,train,Vollguss/Handgriff geschlossen
100006400.png,train,Rost/Strassenrost
100173000.png,train,Andere/-
100207600.png,train,Vollguss/Pickelloch geschlossen
100048900.png,train,Rost/Strassenrost
