image,transforms,set,label
100212500.png,blur_fliph_rcont,train,Rost/Strassenrost
100014500.png,fliph_raff_rcrop,train,Rost/Strassenrost
100014500.png,orig_raff_rcont,train,Rost/Strassenrost
100085500.png,flipv_rcont_rinv,train,Rost/Strassenrost
100085500.png,fliph_rinv_rshrp,train,Rost/Strassenrost
100141900.png,flipv_orig_rinv,train,Rost/Strassenrost
100141900.png,fliph_orig_rinv,train,Rost/Strassenrost
100130100.png,fliph_jit_orig,train,Rost/Strassenrost
100130100.png,blur_rcont_rinv,train,Rost/Strassenrost
100166300.png,fliph_pers_rshrp,train,Rost/Strassenrost
100166300.png,flipv_jit_rot,train,Rost/Strassenrost
100004200.png,pers_rcrop_rot,train,Rost/Strassenrost
100004200.png,rcrop_rinv_rshrp,train,Rost/Strassenrost
100033400.png,fliph_jit_raff,train,Rost/Strassenrost
100033400.png,blur_jit_pers,train,Rost/Strassenrost
100100400.png,orig_rcrop_rot,train,Rost/Strassenrost
100100400.png,fliph_jit_pers,train,Rost/Strassenrost
100213300.png,jit_rcont_rinv,train,Rost/Strassenrost
100213300.png,pers_rcrop_rinv,train,Rost/Strassenrost
100195000.png,pers_rcrop_rot,train,Rost/Strassenrost
100195000.png,orig_rcont_rshrp,train,Rost/Strassenrost
100111600.png,orig_raff_rcrop,train,Rost/Strassenrost
100111600.png,blur_jit_raff,train,Rost/Strassenrost
100083700.png,fliph_raff_rot,train,Rost/Strassenrost
100083700.png,pers_rcrop_rshrp,train,Rost/Strassenrost
100176000.png,flipv_jit_rshrp,train,Rost/Strassenrost
100176000.png,pers_raff_rot,train,Rost/Strassenrost
100051400.png,fliph_flipv_rshrp,train,Rost/Strassenrost
100051400.png,raff_rcrop_rshrp,train,Rost/Strassenrost
100084100.png,flipv_pers_rot,train,Rost/Strassenrost
100084100.png,flipv_orig_rot,train,Rost/Strassenrost
100104100.png,orig_rcont_rshrp,train,Rost/Strassenrost
100104100.png,pers_rcrop_rinv,train,Rost/Strassenrost
100167600.png,fliph_pers_rcont,train,Rost/Strassenrost
100167600.png,jit_orig_pers,train,Rost/Strassenrost
100045400.png,jit_rcont_rinv,train,Rost/Strassenrost
100045400.png,blur_jit_raff,train,Rost/Strassenrost
100210400.png,flipv_rcont_rinv,train,Rost/Strassenrost
100210400.png,flipv_pers_raff,train,Rost/Strassenrost
100065900.png,flipv_jit_rshrp,train,Rost/Strassenrost
100065900.png,rcrop_rinv_rshrp,train,Rost/Strassenrost
100089700.png,rcont_rinv_rot,train,Rost/Strassenrost
100089700.png,jit_rcrop_rinv,train,Rost/Strassenrost
100048900.png,orig_rcrop_rinv,train,Rost/Strassenrost
100048900.png,orig_rcont_rshrp,train,Rost/Strassenrost
100084200.png,fliph_raff_rcrop,train,Rost/Strassenrost
100084200.png,orig_rinv_rshrp,train,Rost/Strassenrost
100004600.png,fliph_flipv_rinv,train,Rost/Strassenrost
100004600.png,flipv_raff_rot,train,Rost/Strassenrost
100101500.png,fliph_orig_raff,train,Rost/Strassenrost
100101500.png,blur_jit_orig,train,Rost/Strassenrost
100145400.png,fliph_pers_rcrop,train,Rost/Strassenrost
100145400.png,jit_raff_rinv,train,Rost/Strassenrost
100111700.png,blur_orig_rshrp,train,Rost/Strassenrost
100111700.png,fliph_jit_orig,train,Rost/Strassenrost
100140000.png,fliph_rinv_rshrp,train,Rost/Strassenrost
100140000.png,pers_raff_rcont,train,Rost/Strassenrost
100150200.png,raff_rcont_rcrop,train,Rost/Strassenrost
100150200.png,flipv_jit_rcont,train,Rost/Strassenrost
100028700.png,flipv_raff_rcrop,train,Rost/Strassenrost
100028700.png,flipv_jit_rcont,train,Rost/Strassenrost
100146300.png,fliph_orig_rcrop,train,Rost/Strassenrost
100146300.png,rcont_rcrop_rot,train,Rost/Strassenrost
100039200.png,blur_fliph_jit,train,Rost/Strassenrost
100039200.png,fliph_rcrop_rot,train,Rost/Strassenrost
100049200.png,blur_raff_rinv,train,Rost/Strassenrost
100049200.png,raff_rinv_rot,train,Rost/Strassenrost
100124500.png,fliph_jit_pers,train,Rost/Strassenrost
100124500.png,blur_flipv_jit,train,Rost/Strassenrost
100130300.png,fliph_flipv_pers,train,Rost/Strassenrost
100130300.png,blur_flipv_jit,train,Rost/Strassenrost
100067600.png,jit_rcont_rcrop,train,Rost/Strassenrost
100067600.png,rcont_rinv_rot,train,Rost/Strassenrost
100133900.png,fliph_flipv_rcrop,train,Rost/Strassenrost
100133900.png,jit_rcont_rshrp,train,Rost/Strassenrost
100120000.png,jit_raff_rshrp,train,Rost/Strassenrost
100120000.png,blur_rinv_rshrp,train,Rost/Strassenrost
100207100.png,fliph_raff_rot,train,Rost/Strassenrost
100207100.png,jit_orig_rot,train,Rost/Strassenrost
100122900.png,pers_rcrop_rinv,train,Rost/Strassenrost
100122900.png,pers_rcont_rcrop,train,Rost/Strassenrost
100072200.png,blur_fliph_rshrp,train,Rost/Strassenrost
100072200.png,blur_jit_rshrp,train,Rost/Strassenrost
100080900.png,pers_raff_rinv,train,Rost/Strassenrost
100080900.png,blur_flipv_rshrp,train,Rost/Strassenrost
100099200.png,jit_orig_rcont,train,Rost/Strassenrost
100099200.png,rcrop_rinv_rshrp,train,Rost/Strassenrost
100014100.png,blur_fliph_pers,train,Rost/Strassenrost
100014100.png,fliph_pers_rcrop,train,Rost/Strassenrost
100024500.png,fliph_rcrop_rot,train,Rost/Strassenrost
100024500.png,pers_rcont_rshrp,train,Rost/Strassenrost
100127100.png,flipv_rcrop_rinv,train,Rost/Strassenrost
100127100.png,orig_raff_rot,train,Rost/Strassenrost
100209400.png,orig_rcont_rcrop,train,Rost/Strassenrost
100209400.png,fliph_rinv_rshrp,train,Rost/Strassenrost
100103500.png,flipv_orig_rshrp,train,Rost/Strassenrost
100103500.png,fliph_pers_rot,train,Rost/Strassenrost
100151200.png,flipv_rcont_rot,train,Rost/Strassenrost
100151200.png,orig_pers_rshrp,train,Rost/Strassenrost
100117200.png,flipv_rinv_rot,train,Rost/Strassenrost
100117200.png,pers_raff_rinv,train,Rost/Strassenrost
100157700.png,rcont_rcrop_rinv,train,Rost/Strassenrost
100157700.png,blur_fliph_pers,train,Rost/Strassenrost
100057900.png,blur_raff_rinv,train,Rost/Strassenrost
100057900.png,blur_flipv_rot,train,Rost/Strassenrost
100195800.png,fliph_jit_rshrp,train,Rost/Strassenrost
100195800.png,flipv_pers_rinv,train,Rost/Strassenrost
100180400.png,jit_orig_rinv,train,Rost/Strassenrost
100180400.png,blur_pers_rcrop,train,Rost/Strassenrost
100145900.png,raff_rinv_rot,train,Rost/Strassenrost
100145900.png,blur_jit_rcont,train,Rost/Strassenrost
100068100.png,flipv_jit_pers,train,Rost/Strassenrost
100068100.png,blur_pers_rcont,train,Rost/Strassenrost
100065300.png,jit_raff_rot,train,Rost/Strassenrost
100065300.png,fliph_raff_rcrop,train,Rost/Strassenrost
100068400.png,fliph_jit_rinv,train,Rost/Strassenrost
100068400.png,fliph_jit_rcont,train,Rost/Strassenrost
100012500.png,flipv_rot_rshrp,train,Rost/Strassenrost
100012500.png,pers_rcrop_rot,train,Rost/Strassenrost
100007800.png,orig_raff_rinv,train,Rost/Strassenrost
100007800.png,orig_pers_rcont,train,Rost/Strassenrost
100138800.png,fliph_flipv_rcrop,train,Rost/Strassenrost
100138800.png,raff_rinv_rshrp,train,Rost/Strassenrost
100201600.png,fliph_flipv_orig,train,Rost/Strassenrost
100201600.png,pers_rcrop_rshrp,train,Rost/Strassenrost
100063500.png,flipv_rcont_rcrop,train,Rost/Strassenrost
100063500.png,orig_rcont_rot,train,Rost/Strassenrost
100089900.png,jit_rcrop_rshrp,train,Rost/Strassenrost
100089900.png,pers_raff_rcont,train,Rost/Strassenrost
100194100.png,jit_raff_rshrp,train,Rost/Strassenrost
100194100.png,flipv_jit_raff,train,Rost/Strassenrost
100131000.png,flipv_rcrop_rot,train,Rost/Strassenrost
100131000.png,fliph_orig_rinv,train,Rost/Strassenrost
100178200.png,blur_raff_rcrop,train,Rost/Strassenrost
100178200.png,raff_rinv_rot,train,Rost/Strassenrost
100179200.png,orig_rcont_rshrp,train,Rost/Strassenrost
100179200.png,orig_rinv_rshrp,train,Rost/Strassenrost
100035200.png,blur_raff_rot,train,Rost/Strassenrost
100035200.png,fliph_raff_rcont,train,Rost/Strassenrost
100006800.png,blur_pers_rcont,train,Rost/Strassenrost
100006800.png,blur_rinv_rot,train,Rost/Strassenrost
100208200.png,fliph_raff_rot,train,Rost/Strassenrost
100208200.png,fliph_raff_rcont,train,Rost/Strassenrost
100171000.png,blur_jit_raff,train,Rost/Strassenrost
100171000.png,pers_rinv_rshrp,train,Rost/Strassenrost
100152900.png,pers_raff_rcont,train,Rost/Strassenrost
100152900.png,flipv_jit_rot,train,Rost/Strassenrost
100057400.png,rcont_rinv_rot,train,Rost/Strassenrost
100057400.png,fliph_orig_pers,train,Rost/Strassenrost
100212000.png,fliph_pers_rot,train,Rost/Strassenrost
100212000.png,jit_pers_rinv,train,Rost/Strassenrost
100175100.png,blur_flipv_rot,train,Rost/Strassenrost
100175100.png,blur_fliph_raff,train,Rost/Strassenrost
100080500.png,fliph_jit_rinv,train,Rost/Strassenrost
100080500.png,blur_flipv_pers,train,Rost/Strassenrost
100186600.png,fliph_jit_orig,train,Rost/Strassenrost
100186600.png,rcont_rcrop_rinv,train,Rost/Strassenrost
100134600.png,flipv_pers_rshrp,train,Rost/Strassenrost
100134600.png,flipv_jit_rinv,train,Rost/Strassenrost
100008300.png,orig_raff_rinv,train,Rost/Strassenrost
100008300.png,flipv_jit_rinv,train,Rost/Strassenrost
100171400.png,blur_raff_rinv,train,Rost/Strassenrost
100171400.png,pers_raff_rcrop,train,Rost/Strassenrost
100154200.png,blur_flipv_rinv,train,Rost/Strassenrost
100154200.png,fliph_jit_rshrp,train,Rost/Strassenrost
100043600.png,blur_fliph_rcrop,train,Rost/Strassenrost
100043600.png,pers_rinv_rshrp,train,Rost/Strassenrost
100125500.png,jit_rot_rshrp,train,Rost/Strassenrost
100125500.png,jit_pers_rshrp,train,Rost/Strassenrost
100103100.png,jit_rcrop_rshrp,train,Rost/Strassenrost
100103100.png,rcont_rcrop_rinv,train,Rost/Strassenrost
100029700.png,orig_rcont_rinv,train,Rost/Strassenrost
100029700.png,blur_jit_rcont,train,Rost/Strassenrost
100163600.png,rcrop_rot_rshrp,train,Rost/Strassenrost
100163600.png,orig_raff_rinv,train,Rost/Strassenrost
100194300.png,flipv_raff_rot,train,Rost/Strassenrost
100194300.png,orig_rcont_rinv,train,Rost/Strassenrost
100025200.png,fliph_orig_rot,train,Rost/Strassenrost
100025200.png,rcrop_rinv_rot,train,Rost/Strassenrost
100147100.png,pers_raff_rcrop,train,Rost/Strassenrost
100147100.png,fliph_rcont_rcrop,train,Rost/Strassenrost
100141300.png,blur_rcrop_rot,train,Rost/Strassenrost
100141300.png,fliph_flipv_rot,train,Rost/Strassenrost
100092600.png,pers_raff_rcrop,train,Rost/Strassenrost
100092600.png,pers_rcrop_rshrp,train,Rost/Strassenrost
100002200.png,flipv_rcont_rinv,train,Rost/Strassenrost
100002200.png,rcrop_rot_rshrp,train,Rost/Strassenrost
100098700.png,jit_pers_raff,train,Rost/Strassenrost
100098700.png,flipv_pers_rot,train,Rost/Strassenrost
100096800.png,pers_raff_rinv,train,Rost/Strassenrost
100096800.png,orig_pers_rot,train,Rost/Strassenrost
100143900.png,fliph_flipv_jit,train,Rost/Strassenrost
100143900.png,pers_rinv_rshrp,train,Rost/Strassenrost
100200700.png,rcont_rinv_rot,train,Rost/Strassenrost
100200700.png,fliph_flipv_jit,train,Rost/Strassenrost
100071000.png,orig_raff_rcont,train,Rost/Strassenrost
100071000.png,jit_rcrop_rinv,train,Rost/Strassenrost
100200900.png,blur_raff_rot,train,Rost/Strassenrost
100200900.png,fliph_jit_rot,train,Rost/Strassenrost
100186000.png,flipv_jit_pers,train,Rost/Strassenrost
100186000.png,flipv_raff_rcrop,train,Rost/Strassenrost
100007600.png,fliph_pers_rshrp,train,Rost/Strassenrost
100007600.png,blur_jit_raff,train,Rost/Strassenrost
100196700.png,fliph_rcrop_rinv,train,Rost/Strassenrost
100196700.png,flipv_pers_rot,train,Rost/Strassenrost
100018500.png,flipv_pers_rshrp,train,Rost/Strassenrost
100018500.png,pers_rcont_rot,train,Rost/Strassenrost
100046200.png,blur_orig_rcont,train,Rost/Strassenrost
100046200.png,rinv_rot_rshrp,train,Rost/Strassenrost
100063300.png,blur_jit_orig,train,Rost/Strassenrost
100063300.png,blur_raff_rot,train,Rost/Strassenrost
100121500.png,flipv_rcrop_rinv,train,Rost/Strassenrost
100121500.png,pers_rcont_rshrp,train,Rost/Strassenrost
100059300.png,blur_flipv_rinv,train,Rost/Strassenrost
100059300.png,pers_raff_rshrp,train,Rost/Strassenrost
100054800.png,orig_pers_rcont,train,Rost/Strassenrost
100054800.png,blur_rcont_rshrp,train,Rost/Strassenrost
100108000.png,blur_pers_raff,train,Rost/Strassenrost
100108000.png,fliph_orig_rot,train,Rost/Strassenrost
100027400.png,blur_pers_rshrp,train,Rost/Strassenrost
100027400.png,blur_orig_rinv,train,Rost/Strassenrost
100184900.png,blur_orig_rcont,train,Rost/Strassenrost
100184900.png,blur_fliph_rcont,train,Rost/Strassenrost
100033700.png,blur_rcrop_rot,train,Rost/Strassenrost
100033700.png,fliph_flipv_rshrp,train,Rost/Strassenrost
100212700.png,jit_rcont_rcrop,train,Rost/Strassenrost
100212700.png,fliph_flipv_rcont,train,Rost/Strassenrost
100018700.png,blur_orig_raff,train,Rost/Strassenrost
100018700.png,flipv_orig_rcont,train,Rost/Strassenrost
100168300.png,blur_jit_pers,train,Rost/Strassenrost
100168300.png,pers_raff_rshrp,train,Rost/Strassenrost
100096200.png,pers_rcont_rshrp,train,Rost/Strassenrost
100096200.png,raff_rcrop_rot,train,Rost/Strassenrost
100206300.png,blur_orig_rcont,train,Rost/Strassenrost
100206300.png,fliph_flipv_rot,train,Rost/Strassenrost
100169500.png,flipv_rinv_rshrp,train,Rost/Strassenrost
100169500.png,jit_rcont_rot,train,Rost/Strassenrost
100170400.png,flipv_rinv_rshrp,train,Rost/Strassenrost
100170400.png,rcont_rinv_rshrp,train,Rost/Strassenrost
100176400.png,fliph_orig_rcont,train,Rost/Strassenrost
100176400.png,raff_rcrop_rot,train,Rost/Strassenrost
100023000.png,orig_raff_rcont,train,Rost/Strassenrost
100023000.png,jit_rcont_rot,train,Rost/Strassenrost
100067200.png,blur_orig_rcont,train,Rost/Strassenrost
100067200.png,flipv_pers_rshrp,train,Rost/Strassenrost
100145700.png,jit_raff_rcont,train,Rost/Strassenrost
100145700.png,fliph_orig_rcont,train,Rost/Strassenrost
100182300.png,blur_fliph_rinv,train,Rost/Strassenrost
100182300.png,fliph_pers_rshrp,train,Rost/Strassenrost
100159200.png,blur_flipv_orig,train,Rost/Strassenrost
100159200.png,rcont_rcrop_rshrp,train,Rost/Strassenrost
100141400.png,jit_rot_rshrp,train,Rost/Strassenrost
100141400.png,pers_rcont_rot,train,Rost/Strassenrost
100078700.png,pers_raff_rshrp,train,Rost/Strassenrost
100078700.png,blur_rinv_rot,train,Rost/Strassenrost
100105500.png,blur_jit_rot,train,Rost/Strassenrost
100105500.png,blur_jit_rcont,train,Rost/Strassenrost
100107900.png,pers_rinv_rshrp,train,Rost/Strassenrost
100107900.png,blur_raff_rshrp,train,Rost/Strassenrost
100064900.png,jit_orig_rinv,train,Rost/Strassenrost
100064900.png,jit_orig_raff,train,Rost/Strassenrost
100199200.png,fliph_flipv_pers,train,Rost/Strassenrost
100199200.png,blur_rcrop_rot,train,Rost/Strassenrost
100011000.png,orig_rcont_rcrop,train,Rost/Strassenrost
100011000.png,blur_rcont_rshrp,train,Rost/Strassenrost
100061300.png,flipv_pers_rot,train,Rost/Strassenrost
100061300.png,jit_rot_rshrp,train,Rost/Strassenrost
100162000.png,pers_rcont_rshrp,train,Rost/Strassenrost
100162000.png,blur_fliph_rshrp,train,Rost/Strassenrost
100209100.png,blur_orig_rshrp,train,Rost/Strassenrost
100209100.png,blur_fliph_raff,train,Rost/Strassenrost
100127900.png,fliph_flipv_rshrp,train,Rost/Strassenrost
100127900.png,flipv_orig_rcont,train,Rost/Strassenrost
100081000.png,rcont_rot_rshrp,train,Rost/Strassenrost
100081000.png,jit_pers_raff,train,Rost/Strassenrost
100099600.png,fliph_raff_rcont,train,Rost/Strassenrost
100099600.png,blur_flipv_jit,train,Rost/Strassenrost
100043100.png,fliph_jit_raff,train,Rost/Strassenrost
100043100.png,jit_orig_rcrop,train,Rost/Strassenrost
100044100.png,raff_rcont_rot,train,Rost/Strassenrost
100044100.png,fliph_pers_rcrop,train,Rost/Strassenrost
100023200.png,orig_raff_rcrop,train,Rost/Strassenrost
100023200.png,orig_pers_rshrp,train,Rost/Strassenrost
100055200.png,orig_rot_rshrp,train,Rost/Strassenrost
100055200.png,jit_pers_rshrp,train,Rost/Strassenrost
100189500.png,fliph_rcrop_rot,train,Rost/Strassenrost
100189500.png,fliph_jit_rcrop,train,Rost/Strassenrost
100069200.png,orig_rcrop_rot,train,Rost/Strassenrost
100069200.png,pers_rot_rshrp,train,Rost/Strassenrost
100170800.png,blur_rinv_rshrp,train,Rost/Strassenrost
100170800.png,blur_pers_rcrop,train,Rost/Strassenrost
100173400.png,rcont_rot_rshrp,train,Rost/Strassenrost
100173400.png,pers_rcont_rcrop,train,Rost/Strassenrost
100213500.png,jit_rcont_rinv,train,Rost/Strassenrost
100213500.png,pers_raff_rcrop,train,Rost/Strassenrost
100048100.png,raff_rinv_rshrp,train,Rost/Strassenrost
100048100.png,flipv_orig_raff,train,Rost/Strassenrost
100076300.png,jit_pers_rcrop,train,Rost/Strassenrost
100076300.png,fliph_jit_rshrp,train,Rost/Strassenrost
100079800.png,fliph_raff_rcrop,train,Rost/Strassenrost
100079800.png,blur_jit_rcrop,train,Rost/Strassenrost
100152600.png,fliph_rot_rshrp,train,Rost/Strassenrost
100152600.png,pers_raff_rshrp,train,Rost/Strassenrost
100120300.png,jit_raff_rot,train,Rost/Strassenrost
100120300.png,fliph_pers_raff,train,Rost/Strassenrost
100187400.png,blur_flipv_rshrp,train,Rost/Strassenrost
100187400.png,fliph_pers_rot,train,Rost/Strassenrost
100030200.png,fliph_rcont_rshrp,train,Rost/Strassenrost
100030200.png,fliph_jit_rshrp,train,Rost/Strassenrost
100065000.png,raff_rcont_rot,train,Rost/Strassenrost
100065000.png,flipv_pers_rot,train,Rost/Strassenrost
100094300.png,pers_rot_rshrp,train,Rost/Strassenrost
100094300.png,blur_rcont_rinv,train,Rost/Strassenrost
100210900.png,jit_rcont_rinv,train,Rost/Strassenrost
100210900.png,flipv_rcont_rot,train,Rost/Strassenrost
100097400.png,blur_rot_rshrp,train,Rost/Strassenrost
100097400.png,pers_rcont_rcrop,train,Rost/Strassenrost
100162700.png,blur_pers_rinv,train,Rost/Strassenrost
100162700.png,jit_orig_pers,train,Rost/Strassenrost
100187800.png,fliph_rcrop_rinv,train,Rost/Strassenrost
100187800.png,jit_rot_rshrp,train,Rost/Strassenrost
100090300.png,blur_pers_rinv,train,Rost/Strassenrost
100090300.png,jit_rcont_rcrop,train,Rost/Strassenrost
100153600.png,blur_fliph_flipv,train,Rost/Strassenrost
100153600.png,flipv_raff_rot,train,Rost/Strassenrost
100198900.png,fliph_rcont_rcrop,train,Rost/Strassenrost
100198900.png,fliph_flipv_rcont,train,Rost/Strassenrost
100073400.png,flipv_rcont_rcrop,train,Rost/Strassenrost
100073400.png,blur_orig_rshrp,train,Rost/Strassenrost
100078400.png,flipv_pers_rcrop,train,Rost/Strassenrost
100078400.png,flipv_pers_rinv,train,Rost/Strassenrost
100128500.png,fliph_flipv_rshrp,train,Rost/Strassenrost
100128500.png,fliph_pers_rcrop,train,Rost/Strassenrost
100031500.png,blur_flipv_rinv,train,Rost/Strassenrost
100031500.png,rcrop_rot_rshrp,train,Rost/Strassenrost
100123600.png,pers_raff_rcont,train,Rost/Strassenrost
100123600.png,rcont_rcrop_rshrp,train,Rost/Strassenrost
100185200.png,jit_raff_rcont,train,Rost/Strassenrost
100185200.png,orig_rot_rshrp,train,Rost/Strassenrost
100091400.png,fliph_rot_rshrp,train,Rost/Strassenrost
100091400.png,flipv_pers_rinv,train,Rost/Strassenrost
100054900.png,flipv_rcont_rinv,train,Rost/Strassenrost
100054900.png,flipv_rcont_rot,train,Rost/Strassenrost
100163700.png,blur_flipv_rinv,train,Rost/Strassenrost
100163700.png,fliph_jit_pers,train,Rost/Strassenrost
100020800.png,flipv_raff_rshrp,train,Rost/Strassenrost
100020800.png,blur_flipv_raff,train,Rost/Strassenrost
100020500.png,fliph_jit_rot,train,Rost/Strassenrost
100020500.png,flipv_rcrop_rinv,train,Rost/Strassenrost
100001800.png,blur_jit_rshrp,train,Rost/Strassenrost
100001800.png,blur_orig_raff,train,Rost/Strassenrost
100174000.png,blur_flipv_rcrop,train,Rost/Strassenrost
100174000.png,fliph_flipv_rinv,train,Rost/Strassenrost
100058000.png,fliph_rcont_rinv,train,Rost/Strassenrost
100058000.png,flipv_orig_rcrop,train,Rost/Strassenrost
100200300.png,orig_pers_rot,train,Rost/Strassenrost
100200300.png,blur_flipv_jit,train,Rost/Strassenrost
100165200.png,flipv_orig_rshrp,train,Rost/Strassenrost
100165200.png,rcont_rinv_rot,train,Rost/Strassenrost
100004700.png,fliph_flipv_rcrop,train,Rost/Strassenrost
100004700.png,flipv_rcont_rshrp,train,Rost/Strassenrost
100030900.png,blur_jit_pers,train,Rost/Strassenrost
100030900.png,blur_raff_rcont,train,Rost/Strassenrost
100199700.png,pers_raff_rinv,train,Rost/Strassenrost
100199700.png,rcrop_rot_rshrp,train,Rost/Strassenrost
100136200.png,blur_orig_rot,train,Rost/Strassenrost
100136200.png,raff_rcont_rshrp,train,Rost/Strassenrost
100067300.png,jit_orig_rcrop,train,Rost/Strassenrost
100067300.png,jit_rinv_rot,train,Rost/Strassenrost
100157200.png,orig_pers_rinv,train,Rost/Strassenrost
100157200.png,orig_raff_rcont,train,Rost/Strassenrost
100064200.png,orig_raff_rot,train,Rost/Strassenrost
100064200.png,fliph_raff_rcrop,train,Rost/Strassenrost
100055400.png,jit_raff_rshrp,train,Rost/Strassenrost
100055400.png,blur_orig_rinv,train,Rost/Strassenrost
100076000.png,flipv_rcrop_rinv,train,Rost/Strassenrost
100076000.png,blur_orig_rshrp,train,Rost/Strassenrost
100209000.png,pers_rcont_rot,train,Rost/Strassenrost
100209000.png,blur_fliph_rot,train,Rost/Strassenrost
100072900.png,flipv_jit_rshrp,train,Rost/Strassenrost
100072900.png,jit_raff_rinv,train,Rost/Strassenrost
100010400.png,raff_rcont_rinv,train,Rost/Strassenrost
100010400.png,orig_pers_rshrp,train,Rost/Strassenrost
100028000.png,orig_rcont_rot,train,Rost/Strassenrost
100028000.png,jit_pers_rcrop,train,Rost/Strassenrost
100182600.png,flipv_pers_raff,train,Rost/Strassenrost
100182600.png,jit_pers_rshrp,train,Rost/Strassenrost
100199800.png,fliph_flipv_rcont,train,Rost/Strassenrost
100199800.png,blur_jit_rot,train,Rost/Strassenrost
100078800.png,flipv_raff_rshrp,train,Rost/Strassenrost
100078800.png,blur_fliph_jit,train,Rost/Strassenrost
100192900.png,blur_raff_rcont,train,Rost/Strassenrost
100192900.png,fliph_flipv_pers,train,Rost/Strassenrost
100016500.png,jit_rinv_rot,train,Rost/Strassenrost
100016500.png,fliph_raff_rcont,train,Rost/Strassenrost
100209600.png,flipv_jit_rshrp,train,Rost/Strassenrost
100209600.png,fliph_flipv_orig,train,Rost/Strassenrost
100100600.png,flipv_rcont_rinv,train,Rost/Strassenrost
100100600.png,flipv_orig_rcrop,train,Rost/Strassenrost
